Linux 7.2.0-1-cachyos (mystery) 	08/31/26 	_x86_64_	(24 CPU)

21:34:54     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
21:34:55     all   32.52    0.00   29.39    0.00    0.29   12.86    0.00    0.00    0.00   24.94
21:34:56     all   31.55    0.00   30.68    0.00    0.37   13.47    0.00    0.00    0.00   23.93
21:34:57     all   32.67    0.04   31.89    0.00    0.41   13.70    0.00    0.00    0.00   21.29
21:34:58     all   33.55    0.00   32.19    0.00    0.37   14.18    0.00    0.00    0.00   19.70
21:34:59     all   32.67    0.00   31.52    0.04    0.37   14.00    0.00    0.00    0.00   21.40
21:35:00     all   32.81    0.00   31.70    0.00    0.33   14.07    0.00    0.00    0.00   21.09
21:35:01     all   33.18    0.00   31.45    0.00    0.33   13.88    0.00    0.00    0.00   21.16
21:35:02     all   33.77    0.00   32.16    0.00    0.37   14.29    0.00    0.00    0.00   19.41
21:35:03     all   33.36    0.00   32.95    0.00    0.41   14.30    0.00    0.00    0.00   18.98
21:35:04     all   32.80    0.00   31.76    0.00    0.41   14.16    0.00    0.00    0.00   20.87
21:35:05     all   32.85    0.00   32.48    0.00    0.29   14.10    0.00    0.00    0.00   20.28
21:35:06     all   31.87    0.00   32.49    0.00    0.37   13.96    0.00    0.00    0.00   21.30
21:35:07     all   33.28    0.00   32.62    0.04    0.29   14.07    0.00    0.00    0.00   19.70
21:35:08     all   32.54    0.00   31.42    0.00    0.29   14.08    0.00    0.00    0.00   21.68
21:35:09     all   32.04    0.04   32.91    0.00    0.50   13.87    0.00    0.00    0.00   20.64
21:35:10     all   33.28    0.00   31.71    0.00    0.33   14.31    0.00    0.00    0.00   20.37
21:35:11     all   33.74    0.00   31.60    0.00    0.37   14.07    0.00    0.00    0.00   20.21
21:35:12     all   32.93    0.00   32.68    0.00    0.29   14.21    0.00    0.00    0.00   19.88
21:35:13     all   32.24    0.00   31.95    0.00    0.41   14.08    0.00    0.00    0.00   21.33
21:35:14     all   33.98    0.00   32.45    0.00    0.29   14.16    0.00    0.00    0.00   19.12
21:35:15     all   32.92    0.00   32.72    0.04    0.45   14.20    0.00    0.00    0.00   19.67
21:35:16     all   33.03    0.00   32.74    0.04    0.25   13.92    0.00    0.00    0.00   20.02
21:35:17     all   33.77    0.00   31.01    0.00    0.41   14.23    0.00    0.00    0.00   20.58
21:35:18     all   32.43    0.00   31.27    0.00    0.37   14.05    0.00    0.00    0.00   21.88
21:35:19     all   32.62    0.00   31.95    0.00    0.33   13.92    0.00    0.00    0.00   21.18
21:35:20     all   32.50    0.00   30.94    0.00    0.33   13.93    0.00    0.00    0.00   22.31
21:35:21     all   32.77    0.00   31.90    0.00    0.46   14.03    0.00    0.00    0.00   20.85
21:35:22     all   32.71    0.00   32.63    0.00    0.25   14.33    0.00    0.00    0.00   20.07
21:35:23     all   33.03    0.00   31.09    0.00    0.41   13.90    0.00    0.00    0.00   21.57
21:35:24     all   32.72    0.04   31.77    0.00    0.41   13.73    0.00    0.00    0.00   21.33
Average:     all   32.87    0.00   31.87    0.01    0.36   14.00    0.00    0.00    0.00   20.89
