Linux 7.2.0-1-cachyos (mystery) 	08/31/26 	_x86_64_	(24 CPU)

21:45:25     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
21:45:26     all   33.39    0.00   31.17    0.00    0.45   13.10    0.00    0.00    0.00   21.89
21:45:27     all   33.32    0.00   30.92    0.00    0.21   13.58    0.00    0.00    0.00   21.98
21:45:28     all   33.85    0.00   32.41    0.00    0.33   13.49    0.00    0.00    0.00   19.91
21:45:29     all   33.40    0.04   32.41    0.00    0.41   13.61    0.00    0.00    0.00   20.12
21:45:30     all   33.44    0.00   33.11    0.00    0.41   13.96    0.00    0.00    0.00   19.08
21:45:31     all   33.91    0.00   32.92    0.00    0.33   14.31    0.00    0.00    0.00   18.53
21:45:32     all   34.28    0.04   32.76    0.00    0.37   14.13    0.00    0.00    0.00   18.42
21:45:33     all   32.77    0.00   32.98    0.00    0.33   13.88    0.00    0.00    0.00   20.04
21:45:34     all   33.99    0.00   32.76    0.00    0.41   14.19    0.00    0.00    0.00   18.65
21:45:35     all   33.64    0.00   32.60    0.00    0.45   14.01    0.00    0.00    0.00   19.30
21:45:36     all   34.31    0.00   32.24    0.00    0.25   14.06    0.00    0.00    0.00   19.14
21:45:37     all   33.25    0.00   32.76    0.12    0.41   14.00    0.00    0.00    0.00   19.45
21:45:38     all   32.91    0.00   33.20    0.00    0.41   13.99    0.00    0.00    0.00   19.50
21:45:39     all   34.04    0.00   33.00    0.00    0.33   14.20    0.00    0.00    0.00   18.43
21:45:40     all   32.51    0.00   33.04    0.00    0.33   13.81    0.00    0.00    0.00   20.31
21:45:41     all   33.65    0.00   33.61    0.00    0.41   14.02    0.00    0.00    0.00   18.31
21:45:42     all   34.05    0.00   33.22    0.00    0.25   13.98    0.00    0.00    0.00   18.49
21:45:43     all   33.68    0.00   32.48    0.00    0.45   13.85    0.00    0.00    0.00   19.54
21:45:44     all   35.42    0.00   32.91    0.00    0.49   14.23    0.00    0.00    0.00   16.95
21:45:45     all   34.40    0.00   33.15    0.00    0.25   14.16    0.00    0.00    0.00   18.05
21:45:46     all   33.61    0.00   32.70    0.04    0.41   14.24    0.00    0.00    0.00   19.00
21:45:47     all   35.20    0.00   32.11    0.00    0.37   14.14    0.00    0.00    0.00   18.17
21:45:48     all   34.47    0.00   32.43    0.00    0.25   14.14    0.00    0.00    0.00   18.71
21:45:49     all   33.95    0.00   32.51    0.00    0.45   14.03    0.00    0.00    0.00   19.06
21:45:50     all   33.93    0.00   33.55    0.04    0.41   14.04    0.00    0.00    0.00   18.02
21:45:51     all   34.09    0.00   33.64    0.00    0.33   14.88    0.00    0.00    0.00   17.07
21:45:52     all   33.73    0.00   33.53    0.00    0.29   14.45    0.00    0.00    0.00   18.00
21:45:53     all   33.33    0.00   32.76    0.00    0.45   14.15    0.00    0.00    0.00   19.31
21:45:54     all   33.87    0.00   33.37    0.00    0.21   14.39    0.00    0.00    0.00   18.16
21:45:55     all   33.28    0.00   33.82    0.00    0.62   14.53    0.00    0.00    0.00   17.76
Average:     all   33.79    0.00   32.80    0.01    0.37   14.05    0.00    0.00    0.00   18.98
