Linux 7.2.0-1-cachyos (mystery) 	08/31/26 	_x86_64_	(24 CPU)

21:29:08     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
21:29:09     all   39.53    0.04   28.06    0.00    0.41   10.60    0.00    0.00    0.00   21.36
21:29:10     all   40.26    0.00   27.35    0.04    0.25   11.29    0.00    0.00    0.00   20.81
21:29:11     all   39.18    0.00   28.30    0.04    0.41   11.25    0.00    0.00    0.00   20.81
21:29:12     all   39.89    0.04   28.13    0.00    0.46   11.10    0.00    0.00    0.00   20.38
21:29:13     all   41.53    0.00   27.91    0.00    0.17   11.18    0.00    0.00    0.00   19.21
21:29:14     all   40.12    0.00   27.45    0.00    0.50   11.22    0.00    0.00    0.00   20.70
21:29:15     all   40.16    0.04   28.11    0.00    0.58   11.02    0.00    0.00    0.00   20.10
21:29:16     all   40.35    0.00   28.35    0.00    0.08   11.25    0.00    0.00    0.00   19.97
21:29:17     all   40.29    0.00   27.87    0.00    0.58   11.10    0.00    0.00    0.00   20.17
21:29:18     all   40.74    0.08   29.21    0.00    0.45   11.32    0.00    0.00    0.00   18.18
21:29:19     all   40.13    0.00   28.09    0.00    0.17   11.13    0.00    0.00    0.00   20.48
21:29:20     all   40.54    0.00   27.75    0.00    0.62   11.05    0.00    0.00    0.00   20.04
21:29:21     all   39.59    0.00   29.91    0.00    0.29   11.01    0.00    0.00    0.00   19.20
21:29:22     all   39.89    0.00   28.73    0.00    0.37   11.16    0.00    0.00    0.00   19.84
21:29:23     all   40.23    0.00   27.72    0.00    0.54   11.15    0.00    0.00    0.00   20.36
21:29:24     all   40.02    0.00   28.63    0.00    0.33   11.26    0.00    0.00    0.00   19.76
21:29:25     all   39.66    0.00   28.53    0.00    0.33   11.21    0.00    0.00    0.00   20.27
21:29:26     all   39.54    0.00   27.33    0.00    0.29   11.01    0.00    0.00    0.00   21.82
21:29:27     all   40.59    0.00   28.69    0.00    0.50   11.19    0.00    0.00    0.00   19.03
21:29:28     all   40.45    0.00   28.37    0.00    0.37   11.12    0.00    0.00    0.00   19.69
21:29:29     all   40.04    0.00   28.41    0.00    0.29   11.22    0.00    0.00    0.00   20.04
21:29:30     all   39.93    0.00   28.01    0.00    0.37   11.05    0.00    0.00    0.00   20.65
21:29:31     all   40.36    0.00   27.84    0.00    0.54   11.19    0.00    0.00    0.00   20.07
21:29:32     all   39.55    0.00   28.51    0.00    0.17   10.76    0.00    0.00    0.00   21.02
21:29:33     all   37.79    0.00   29.62    0.00    0.70   10.48    0.00    0.00    0.00   21.41
21:29:34     all   38.37    0.00   29.57    0.00    0.29   10.71    0.00    0.00    0.00   21.05
21:29:35     all   40.46    0.00   28.30    0.04    0.41   11.25    0.00    0.00    0.00   19.53
21:29:36     all   40.02    0.00   28.24    0.00    0.45   10.92    0.00    0.00    0.00   20.36
21:29:37     all   40.32    0.00   27.56    0.00    0.33   11.19    0.00    0.00    0.00   20.60
21:29:38     all   39.73    0.00   28.65    0.00    0.33   11.24    0.00    0.00    0.00   20.05
Average:     all   39.98    0.01   28.31    0.00    0.39   11.09    0.00    0.00    0.00   20.23
