Linux 7.2.0-1-cachyos (mystery) 	08/31/26 	_x86_64_	(24 CPU)

21:27:07     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
21:27:08     all   31.58    0.00   30.63    0.00    0.53   13.12    0.00    0.00    0.00   24.14
21:27:09     all   32.52    0.00   32.60    0.04    0.08   13.65    0.00    0.00    0.00   21.10
21:27:10     all   32.07    0.00   31.87    0.00    0.37   13.45    0.00    0.00    0.00   22.25
21:27:11     all   34.16    0.04   32.14    0.00    0.50   14.40    0.00    0.00    0.00   18.77
21:27:12     all   34.15    0.00   32.78    0.00    0.25   14.86    0.00    0.00    0.00   17.96
21:27:13     all   33.28    0.00   33.28    0.00    0.33   14.75    0.00    0.00    0.00   18.36
21:27:14     all   33.00    0.04   32.35    0.00    0.53   14.30    0.00    0.00    0.00   19.77
21:27:15     all   33.31    0.00   32.93    0.00    0.33   14.63    0.00    0.00    0.00   18.80
21:27:16     all   32.99    0.00   33.11    0.00    0.46   14.40    0.00    0.00    0.00   19.04
21:27:17     all   33.28    0.04   32.41    0.00    0.29   14.63    0.00    0.00    0.00   19.35
21:27:18     all   33.04    0.00   31.77    0.00    0.33   14.60    0.00    0.00    0.00   20.26
21:27:19     all   32.27    0.00   32.60    0.04    0.45   14.55    0.00    0.00    0.00   20.08
21:27:20     all   33.06    0.00   33.06    0.00    0.37   14.29    0.00    0.00    0.00   19.22
21:27:21     all   32.73    0.00   33.10    0.00    0.21   14.71    0.00    0.00    0.00   19.26
21:27:22     all   32.28    0.00   32.89    0.00    0.58   14.33    0.00    0.00    0.00   19.93
21:27:23     all   32.36    0.04   33.02    0.00    0.41   14.39    0.00    0.00    0.00   19.79
21:27:24     all   31.97    0.00   32.30    0.00    0.21   14.37    0.00    0.00    0.00   21.16
21:27:25     all   33.11    0.00   33.61    0.00    0.50   14.51    0.00    0.00    0.00   18.27
21:27:26     all   32.77    0.00   32.69    0.00    0.29   14.52    0.00    0.00    0.00   19.74
21:27:27     all   33.50    0.00   33.75    0.00    0.54   14.93    0.00    0.00    0.00   17.29
21:27:28     all   33.31    0.00   33.06    0.00    0.33   14.22    0.00    0.00    0.00   19.08
21:27:29     all   33.60    0.00   32.39    0.00    0.29   14.29    0.00    0.00    0.00   19.43
21:27:30     all   33.53    0.00   31.55    0.00    0.41   14.31    0.00    0.00    0.00   20.21
21:27:31     all   32.33    0.00   33.11    0.00    0.37   14.26    0.00    0.00    0.00   19.93
21:27:32     all   32.22    0.00   32.01    0.00    0.41   14.22    0.00    0.00    0.00   21.14
21:27:33     all   33.24    0.00   33.07    0.00    0.33   14.53    0.00    0.00    0.00   18.83
21:27:34     all   33.82    0.00   32.74    0.00    0.41   14.79    0.00    0.00    0.00   18.23
21:27:35     all   33.57    0.00   33.20    0.00    0.37   14.74    0.00    0.00    0.00   18.13
21:27:36     all   32.81    0.00   32.60    0.00    0.41   14.71    0.00    0.00    0.00   19.46
21:27:37     all   33.61    0.00   33.40    0.00    0.29   14.79    0.00    0.00    0.00   17.90
Average:     all   32.98    0.01   32.67    0.00    0.37   14.41    0.00    0.00    0.00   19.56
