Linux 7.2.0-1-cachyos (mystery) 	08/31/26 	_x86_64_	(24 CPU)

21:36:36     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
21:36:37     all   35.29    0.00   32.21    0.00    0.33   14.21    0.00    0.00    0.00   17.96
21:36:38     all   33.72    0.00   33.80    0.00    0.42   14.29    0.00    0.00    0.00   17.77
21:36:39     all   34.18    0.00   33.39    0.08    0.46   14.42    0.00    0.00    0.00   17.48
21:36:40     all   34.66    0.00   34.15    0.00    0.33   14.24    0.00    0.00    0.00   16.62
21:36:41     all   34.84    0.00   34.10    0.00    0.33   14.59    0.00    0.00    0.00   16.13
21:36:42     all   34.29    0.00   33.21    0.00    0.70   14.39    0.00    0.00    0.00   17.41
21:36:43     all   34.69    0.00   33.44    0.00    0.12   14.45    0.00    0.00    0.00   17.28
21:36:44     all   35.23    0.00   33.28    0.00    0.42   14.54    0.00    0.00    0.00   16.54
21:36:45     all   34.16    0.00   33.42    0.00    0.46   14.49    0.00    0.00    0.00   17.48
21:36:46     all   35.37    0.00   33.13    0.00    0.42   14.57    0.00    0.00    0.00   16.52
21:36:47     all   34.98    0.00   33.03    0.00    0.37   14.33    0.00    0.00    0.00   17.28
21:36:48     all   34.41    0.00   33.58    0.00    0.37   14.38    0.00    0.00    0.00   17.25
21:36:49     all   35.24    0.00   32.17    0.00    0.42   14.28    0.00    0.00    0.00   17.89
21:36:50     all   34.26    0.00   34.14    0.00    0.42   14.55    0.00    0.00    0.00   16.63
21:36:51     all   35.79    0.04   33.42    0.00    0.42   14.51    0.00    0.00    0.00   15.84
21:36:52     all   35.65    0.00   32.82    0.00    0.42   14.62    0.00    0.00    0.00   16.49
21:36:53     all   34.86    0.00   33.99    0.00    0.29   14.52    0.00    0.00    0.00   16.35
21:36:54     all   35.55    0.00   33.26    0.00    0.62   14.29    0.00    0.00    0.00   16.28
21:36:55     all   34.44    0.00   34.28    0.00    0.21   14.45    0.00    0.00    0.00   16.62
21:36:56     all   35.45    0.00   34.11    0.00    0.25   14.55    0.00    0.00    0.00   15.64
21:36:57     all   34.81    0.00   34.48    0.00    0.66   14.38    0.00    0.00    0.00   15.67
21:36:58     all   35.55    0.00   34.26    0.00    0.25   14.62    0.00    0.00    0.00   15.32
21:36:59     all   34.30    0.00   34.35    0.00    0.42   14.45    0.00    0.00    0.00   16.49
21:37:00     all   35.06    0.08   33.86    0.00    0.46   14.46    0.00    0.00    0.00   16.08
21:37:01     all   35.15    0.00   34.07    0.00    0.42   14.67    0.00    0.00    0.00   15.70
21:37:02     all   34.86    0.00   33.36    0.00    0.46   14.52    0.00    0.00    0.00   16.81
21:37:03     all   36.07    0.00   33.90    0.00    0.17   14.43    0.00    0.00    0.00   15.43
21:37:04     all   34.01    0.00   33.84    0.00    0.46   14.54    0.00    0.00    0.00   17.15
21:37:05     all   34.99    0.00   33.87    0.00    0.54   14.35    0.00    0.00    0.00   16.25
21:37:06     all   34.45    0.00   34.99    0.00    0.33   14.51    0.00    0.00    0.00   15.72
Average:     all   34.88    0.00   33.66    0.00    0.40   14.45    0.00    0.00    0.00   16.60
