Linux 7.2.0-1-cachyos (mystery) 	08/31/26 	_x86_64_	(24 CPU)

21:39:58     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
21:39:59     all   31.30    0.00   30.60    0.00    0.37   13.26    0.00    0.00    0.00   24.46
21:40:00     all   31.49    0.00   31.86    0.00    0.37   13.63    0.00    0.00    0.00   22.64
21:40:01     all   31.23    0.00   31.73    0.00    0.33   13.68    0.00    0.00    0.00   23.03
21:40:02     all   31.42    0.00   31.09    0.00    0.37   13.69    0.00    0.00    0.00   23.42
21:40:03     all   31.64    0.00   31.23    0.00    0.29   14.01    0.00    0.00    0.00   22.83
21:40:04     all   32.47    0.00   32.05    0.00    0.29   14.04    0.00    0.00    0.00   21.15
21:40:05     all   31.60    0.00   32.80    0.00    0.45   14.01    0.00    0.00    0.00   21.14
21:40:06     all   31.50    0.00   31.42    0.00    0.33   13.96    0.00    0.00    0.00   22.79
21:40:07     all   30.60    0.00   31.67    0.00    0.21   14.10    0.00    0.00    0.00   23.42
21:40:08     all   32.34    0.00   31.85    0.04    0.33   13.94    0.00    0.00    0.00   21.49
21:40:09     all   31.51    0.00   32.41    0.00    0.41   13.94    0.00    0.00    0.00   21.73
21:40:10     all   32.14    0.00   31.93    0.00    0.33   14.50    0.00    0.00    0.00   21.11
21:40:11     all   31.64    0.04   31.40    0.00    0.29   13.89    0.00    0.00    0.00   22.74
21:40:12     all   32.39    0.04   32.97    0.00    0.33   14.58    0.00    0.00    0.00   19.68
21:40:13     all   32.01    0.00   31.93    0.00    0.25   13.76    0.00    0.00    0.00   22.04
21:40:14     all   32.61    0.00   31.62    0.00    0.49   14.26    0.00    0.00    0.00   21.02
21:40:15     all   32.15    0.00   31.12    0.00    0.33   14.18    0.00    0.00    0.00   22.22
21:40:16     all   31.96    0.00   32.78    0.00    0.25   14.06    0.00    0.00    0.00   20.95
21:40:17     all   32.66    0.00   31.13    0.00    0.41   14.04    0.00    0.00    0.00   21.76
21:40:18     all   31.71    0.00   33.15    0.00    0.37   14.13    0.00    0.00    0.00   20.63
21:40:19     all   32.26    0.00   32.01    0.00    0.16   14.13    0.00    0.00    0.00   21.43
21:40:20     all   32.51    0.00   32.01    0.00    0.45   14.26    0.00    0.00    0.00   20.77
21:40:21     all   32.03    0.00   33.07    0.00    0.37   14.42    0.00    0.00    0.00   20.10
21:40:22     all   31.95    0.00   31.50    0.00    0.17   14.11    0.00    0.00    0.00   22.27
21:40:23     all   32.16    0.00   33.44    0.00    0.33   14.45    0.00    0.00    0.00   19.61
21:40:24     all   32.36    0.00   31.33    0.00    0.45   14.12    0.00    0.00    0.00   21.74
21:40:25     all   32.19    0.00   31.57    0.00    0.45   14.18    0.00    0.00    0.00   21.60
21:40:26     all   32.26    0.00   31.64    0.00    0.21   14.04    0.00    0.00    0.00   21.85
21:40:27     all   31.93    0.04   31.59    0.00    0.33   13.87    0.00    0.00    0.00   22.24
21:40:28     all   32.00    0.00   30.52    0.00    0.37   13.84    0.00    0.00    0.00   23.27
Average:     all   31.93    0.00   31.85    0.00    0.34   14.04    0.00    0.00    0.00   21.84
