Linux 7.2.0-1-cachyos (mystery) 	08/31/26 	_x86_64_	(24 CPU)

21:27:48     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
21:27:49     all   18.55    0.00   50.35    0.00    0.29   26.26    0.00    0.00    0.00    4.54
21:27:50     all   18.84    0.00   51.12    0.00    0.46   26.80    0.00    0.00    0.00    2.78
21:27:51     all   18.82    0.00   51.40    0.00    0.25   26.99    0.00    0.00    0.00    2.54
21:27:52     all   18.98    0.00   51.31    0.00    0.21   27.16    0.00    0.00    0.00    2.34
21:27:53     all   18.68    0.00   51.52    0.00    0.25   26.97    0.00    0.00    0.00    2.58
21:27:54     all   18.83    0.00   51.27    0.00    0.33   27.07    0.00    0.00    0.00    2.50
21:27:55     all   18.47    0.00   51.50    0.00    0.37   26.91    0.00    0.00    0.00    2.75
21:27:56     all   18.71    0.00   51.21    0.00    0.29   27.08    0.00    0.00    0.00    2.71
21:27:57     all   19.12    0.00   50.90    0.00    0.13   26.93    0.00    0.00    0.00    2.92
21:27:58     all   19.02    0.00   50.97    0.00    0.33   27.14    0.00    0.00    0.00    2.53
21:27:59     all   18.78    0.00   51.37    0.00    0.33   26.69    0.00    0.00    0.00    2.83
21:28:00     all   19.10    0.00   50.96    0.00    0.25   27.06    0.00    0.00    0.00    2.63
21:28:01     all   19.01    0.00   50.98    0.00    0.25   27.09    0.00    0.00    0.00    2.67
21:28:02     all   18.84    0.04   50.75    0.00    0.29   26.79    0.00    0.00    0.00    3.29
21:28:03     all   18.39    0.00   51.77    0.00    0.37   27.09    0.00    0.00    0.00    2.37
21:28:04     all   19.15    0.00   50.71    0.00    0.33   27.06    0.00    0.00    0.00    2.75
21:28:05     all   18.79    0.00   51.19    0.00    0.21   26.99    0.00    0.00    0.00    2.83
21:28:06     all   18.88    0.00   51.13    0.00    0.25   26.90    0.00    0.00    0.00    2.84
21:28:07     all   18.89    0.00   51.18    0.00    0.33   27.07    0.00    0.00    0.00    2.53
21:28:08     all   18.80    0.00   51.31    0.04    0.33   27.09    0.00    0.00    0.00    2.42
21:28:09     all   18.95    0.00   51.27    0.00    0.25   26.99    0.00    0.00    0.00    2.54
21:28:10     all   19.05    0.00   51.00    0.00    0.29   26.96    0.00    0.00    0.00    2.70
21:28:11     all   19.17    0.00   51.08    0.00    0.21   26.96    0.00    0.00    0.00    2.58
21:28:12     all   19.02    0.00   51.06    0.00    0.33   27.03    0.00    0.00    0.00    2.54
21:28:13     all   18.84    0.00   50.98    0.00    0.33   27.07    0.00    0.00    0.00    2.79
21:28:14     all   19.06    0.00   50.91    0.00    0.29   26.66    0.00    0.00    0.00    3.07
21:28:15     all   18.90    0.00   50.96    0.00    0.29   27.09    0.00    0.00    0.00    2.76
21:28:16     all   19.20    0.00   50.94    0.00    0.25   26.99    0.00    0.00    0.00    2.62
21:28:17     all   18.94    0.00   50.98    0.00    0.25   26.80    0.00    0.00    0.00    3.03
21:28:18     all   18.67    0.00   51.02    0.00    0.38   26.93    0.00    0.00    0.00    3.00
Average:     all   18.88    0.00   51.10    0.00    0.29   26.95    0.00    0.00    0.00    2.77
