Linux 7.2.0-1-cachyos (mystery) 	08/31/26 	_x86_64_	(24 CPU)

21:28:26     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
21:28:27     all   71.45    0.00   18.67    0.00    0.33    6.29    0.00    0.00    0.00    3.25
21:28:28     all   60.50    0.00   26.75    0.00    0.25   10.88    0.00    0.00    0.00    1.62
21:28:29     all   58.14    0.00   28.55    0.00    0.25   11.86    0.00    0.00    0.00    1.21
21:28:30     all   59.87    0.00   27.35    0.00    0.21   11.32    0.00    0.00    0.00    1.25
21:28:31     all   45.10    0.00   37.51    0.00    0.29   15.68    0.00    0.00    0.00    1.41
21:28:32     all   56.67    0.13   29.69    0.00    0.33   11.97    0.00    0.00    0.00    1.21
21:28:33     all   46.18    0.00   37.25    0.00    0.25   14.94    0.00    0.00    0.00    1.38
21:28:34     all   60.61    0.00   26.66    0.00    0.33   11.19    0.00    0.00    0.00    1.21
21:28:35     all   49.75    0.00   34.29    0.00    0.25   14.33    0.00    0.00    0.00    1.38
21:28:36     all   53.30    0.00   32.30    0.00    0.25   13.03    0.00    0.00    0.00    1.12
21:28:37     all   61.58    0.00   26.14    0.00    0.33   10.95    0.00    0.00    0.00    1.00
21:28:38     all   47.90    0.00   35.58    0.00    0.17   14.94    0.00    0.00    0.00    1.41
21:28:39     all   52.00    0.00   32.74    0.00    0.42   13.81    0.00    0.00    0.00    1.04
21:28:40     all   64.62    0.00   24.09    0.00    0.25    9.84    0.00    0.00    0.00    1.20
21:28:41     all   61.99    0.00   25.35    0.00    0.17   10.20    0.00    0.00    0.00    2.29
21:28:42     all   50.40    0.00   33.92    0.00    0.29   14.15    0.00    0.00    0.00    1.25
21:28:43     all   50.91    0.00   33.71    0.00    0.21   14.17    0.00    0.00    0.00    1.00
21:28:44     all   46.43    0.00   36.71    0.00    0.33   15.27    0.00    0.00    0.00    1.25
21:28:45     all   45.32    0.00   37.87    0.00    0.33   15.61    0.00    0.00    0.00    0.87
21:28:46     all   59.34    0.00   27.77    0.00    0.21   11.65    0.00    0.00    0.00    1.03
21:28:47     all   48.35    0.00   34.67    0.00    0.33   14.60    0.00    0.00    0.00    2.04
21:28:48     all   48.38    0.00   35.39    0.00    0.21   14.82    0.00    0.00    0.00    1.21
21:28:49     all   55.31    0.00   29.26    0.00    0.25   12.57    0.00    0.00    0.00    2.62
21:28:50     all   47.94    0.08   35.65    0.00    0.25   15.04    0.00    0.00    0.00    1.04
21:28:51     all   46.26    0.00   36.78    0.00    0.29   15.54    0.00    0.00    0.00    1.12
21:28:52     all   45.91    0.00   36.99    0.00    0.29   15.72    0.00    0.00    0.00    1.08
21:28:53     all   50.85    0.00   33.47    0.00    0.33   14.02    0.00    0.00    0.00    1.33
21:28:54     all   54.66    0.04   30.87    0.00    0.21   13.02    0.00    0.00    0.00    1.21
21:28:55     all   45.53    0.00   37.50    0.00    0.21   15.68    0.00    0.00    0.00    1.09
21:28:56     all   54.33    0.00   30.79    0.00    0.29   12.92    0.00    0.00    0.00    1.67
Average:     all   53.32    0.01   31.81    0.00    0.27   13.20    0.00    0.00    0.00    1.39
